audit_id,note_id,auditor_mds_id,audited_at_utc,rubric_version,score_accuracy,score_completeness,score_formatting,score_terminology,score_hpi,score_ros,score_plan,composite_score,pass_fail
AU-10001,NT-000001,MD-223,2026-03-28 07:52:26,v1,1.0,1.0,1.0,1.0,0.9828,0.9881,1.0,0.9977,PASS
AU-10002,NT-000002,MD-207,2026-03-27 15:51:54,v1,0.8587,0.8113,0.9634,0.9291,0.8684,0.8665,0.9713,0.885,PASS
AU-10003,NT-000003,MD-233,2026-03-27 08:35:40,v1,0.8207,0.8254,0.94,0.9151,0.8369,0.8438,0.9329,0.8626,PASS
AU-10004,NT-000013,MD-214,2026-03-27 08:38:55,v1,0.8385,1.0,0.8945,0.9437,0.9314,0.9747,0.9261,0.9162,PASS
AU-10005,NT-000015,MD-202,2026-03-28 02:32:31,v1,1.0,1.0,1.0,1.0,0.9719,0.9677,0.9918,0.9943,PASS
AU-10006,NT-000018,MD-234,2026-03-26 09:04:00,v1,0.9376,0.9678,0.8985,0.9179,0.8814,0.8791,0.8754,0.9199,PASS
AU-10007,NT-000023,MD-232,2026-03-26 01:49:09,v1,0.7529,0.7445,0.7805,0.793,0.7826,0.8667,0.8232,0.7772,FAIL
AU-10008,NT-000026,MD-229,2026-03-26 19:00:21,v1,0.8488,0.8278,0.8717,0.7734,0.9709,0.8831,0.8622,0.8553,PASS
AU-10009,NT-000031,MD-213,2026-03-26 11:32:28,v1,0.8168,0.8703,1.0,0.9268,0.9145,0.868,0.916,0.884,PASS
AU-10010,NT-000035,MD-209,2026-03-28 23:22:02,v1,0.8786,0.7854,0.9648,0.9156,0.8311,0.8814,0.8535,0.8639,PASS
AU-10011,NT-000036,MD-215,2026-03-27 11:24:31,v1,0.9831,0.8686,0.8787,0.9408,0.8814,0.962,0.9255,0.9257,PASS
AU-10012,NT-000041,MD-224,2026-03-29 15:33:28,v1,0.8992,0.9065,0.9116,1.0,0.9424,0.959,0.9125,0.9213,PASS
AU-10013,NT-000042,MD-225,2026-03-26 14:11:44,v1,0.773,0.9252,0.7744,0.8418,0.7727,0.864,0.7508,0.8117,FAIL
AU-10014,NT-000043,MD-204,2026-03-28 00:04:35,v1,0.9186,0.9183,0.946,0.8895,0.8592,0.809,0.8909,0.9028,PASS
AU-10015,NT-000044,MD-210,2026-03-26 01:31:43,v1,0.9903,0.9245,0.9269,1.0,1.0,0.861,1.0,0.9677,PASS
AU-10016,NT-000045,MD-232,2026-03-26 09:39:27,v1,1.0,0.8439,0.9496,0.9072,0.9363,1.0,0.9956,0.9474,PASS
AU-10017,NT-000050,MD-229,2026-03-27 16:44:34,v1,0.8743,0.9389,0.9498,0.8569,0.9327,0.8589,0.9254,0.9057,PASS
AU-10018,NT-000057,MD-211,2026-03-29 13:23:38,v1,0.8621,0.906,0.8747,0.9104,0.9348,0.7649,0.9106,0.8866,PASS
AU-10019,NT-000058,MD-230,2026-03-28 02:12:08,v1,0.9678,0.9229,0.8987,0.966,0.8447,0.8909,0.9454,0.9322,PASS
AU-10020,NT-000065,MD-225,2026-03-27 12:07:32,v1,1.0,0.9512,1.0,1.0,1.0,0.9953,0.9526,0.9829,PASS
AU-10021,NT-000067,MD-201,2026-03-28 21:56:37,v1,0.9644,0.8615,0.9066,0.9392,1.0,0.9715,0.9744,0.941,PASS
AU-10022,NT-000068,MD-221,2026-03-28 11:32:19,v1,0.9443,0.9973,0.9039,1.0,0.9445,0.887,0.9648,0.9567,PASS
AU-10023,NT-000072,MD-228,2026-03-26 20:42:40,v1,0.8481,0.8452,0.8363,0.7896,0.7808,0.7642,0.7997,0.8223,FAIL
AU-10024,NT-000078,MD-222,2026-03-27 16:46:03,v1,0.9478,0.8673,0.8811,0.8809,0.8937,0.8925,0.9924,0.9168,PASS
AU-10025,NT-000079,MD-204,2026-03-28 14:02:47,v1,0.9124,0.9263,0.8964,0.8248,0.8792,0.9067,0.8237,0.8879,PASS
AU-10026,NT-000080,MD-226,2026-03-26 04:29:51,v1,0.8942,1.0,0.96,0.9265,1.0,0.9805,0.9158,0.9433,PASS
AU-10027,NT-000081,MD-217,2026-03-29 00:45:26,v1,0.9049,0.9755,0.8516,1.0,0.9395,0.9867,0.9308,0.9346,PASS
AU-10028,NT-000086,MD-223,2026-03-27 04:53:39,v1,1.0,0.9937,0.9724,0.9215,0.9814,1.0,0.9825,0.9836,PASS
AU-10029,NT-000088,MD-218,2026-03-29 17:13:34,v1,0.8755,0.9377,0.9147,0.916,0.9502,0.8956,0.7977,0.8927,PASS
AU-10030,NT-000089,MD-213,2026-03-30 15:36:47,v1,0.9714,0.8688,0.7493,0.9787,0.8675,0.9332,0.9439,0.913,PASS
AU-10031,NT-000091,MD-227,2026-03-27 03:07:18,v1,0.949,0.899,0.9147,0.9658,0.9308,0.9394,0.9112,0.9293,PASS
AU-10032,NT-000096,MD-231,2026-03-28 16:32:46,v1,0.964,0.9611,0.9903,0.9773,1.0,0.9515,0.9294,0.9652,PASS
AU-10033,NT-000102,MD-210,2026-03-27 22:01:06,v1,0.8994,0.8107,0.8637,0.8977,0.864,0.9056,0.8204,0.8628,PASS
AU-10034,NT-000104,MD-215,2026-03-27 18:11:50,v1,0.8766,0.7903,0.8622,0.8682,0.888,0.9079,0.8121,0.8501,PASS
AU-10035,NT-000121,MD-234,2026-03-27 23:13:51,v1,1.0,0.8809,0.9932,0.9482,0.9301,0.9976,0.9357,0.9536,PASS
AU-10036,NT-000129,MD-229,2026-03-27 17:29:34,v1,0.8575,0.8943,0.8244,0.846,0.9441,0.9633,0.9329,0.8857,PASS
AU-10037,NT-000132,MD-234,2026-03-29 21:25:29,v1,0.9444,0.939,0.9952,0.9848,0.8691,1.0,1.0,0.956,PASS
AU-10038,NT-000133,MD-213,2026-03-28 03:34:58,v1,0.8815,0.8399,0.9543,0.9247,0.9175,0.9059,0.9735,0.9034,PASS
AU-10039,NT-000134,MD-219,2026-03-29 19:46:02,v1,0.97,0.903,0.9367,0.9331,0.8599,1.0,0.9983,0.9443,PASS
AU-10040,NT-000142,MD-229,2026-03-29 08:41:17,v1,0.9584,1.0,0.9832,0.9271,0.9313,0.9409,0.9364,0.9592,PASS
AU-10041,NT-000147,MD-210,2026-03-28 12:12:12,v1,1.0,0.8827,0.8706,1.0,0.9747,0.9013,0.956,0.9495,PASS
AU-10042,NT-000153,MD-228,2026-03-28 13:26:57,v1,0.8661,0.9129,0.9201,0.807,0.9714,0.8581,0.9297,0.8946,PASS
AU-10043,NT-000160,MD-208,2026-03-30 02:59:52,v1,1.0,1.0,0.9618,0.9189,0.9894,0.9042,0.9793,0.9791,PASS
AU-10044,NT-000162,MD-226,2026-03-30 11:19:47,v1,0.9291,0.9597,0.8332,0.8334,0.8654,0.8298,0.8512,0.893,PASS
AU-10045,NT-000165,MD-228,2026-03-28 22:29:12,v1,0.9886,0.9699,0.9454,0.9637,0.9783,1.0,0.9129,0.9662,PASS
AU-10046,NT-000166,MD-207,2026-03-31 02:34:48,v1,0.9311,0.9509,0.9464,0.8901,0.9981,0.8191,0.9039,0.9295,PASS
AU-10047,NT-000171,MD-201,2026-03-31 08:33:00,v1,0.7803,0.7635,0.7485,0.7724,0.7215,0.6665,0.772,0.7602,FAIL
AU-10048,NT-000175,MD-209,2026-03-27 23:31:07,v1,0.9883,1.0,0.8651,0.9468,0.891,0.8412,0.8658,0.9387,PASS
AU-10049,NT-000177,MD-203,2026-03-30 19:40:11,v1,0.8589,0.8652,1.0,0.9587,0.9913,0.9635,0.9336,0.9139,PASS
